date,amount,category,description
01-12-2024,3200.00,Einnahme,Gehalt
03-12-2024,1010.00,Ausgabe,Miete
06-12-2024,120.30,Ausgabe,Lebensmittel - Rewe
09-12-2024,40.00,Einnahme,Zinsen - Sparkonto
12-12-2024,49.00,Ausgabe,ÖPNV Monatskarte
15-12-2024,220.00,Ausgabe,Weihnachtsgeschenke
18-12-2024,95.00,Einnahme,Weihnachtsbonus - Nebenjob
21-12-2024,38.50,Ausgabe,Restaurant - Tapas
24-12-2024,75.00,Einnahme,Geschenk - Eltern
27-12-2024,55.00,Ausgabe,Kleidung
30-12-2024,45.00,Einnahme,Zinsen - Tagesgeld
01-01-2025,3250.00,Einnahme,Gehalt
03-01-2025,1020.00,Ausgabe,Miete
06-01-2025,98.70,Ausgabe,Lebensmittel - Aldi
09-01-2025,40.00,Einnahme,Zinsen - Sparkonto
12-01-2025,49.00,Ausgabe,ÖPNV Monatskarte
15-01-2025,29.99,Ausgabe,Fitnessstudio
18-01-2025,75.00,Einnahme,Nebenjob - Nachhilfe
21-01-2025,21.70,Ausgabe,Apotheke
24-01-2025,100.00,Einnahme,Bonuszahlung
27-01-2025,27.50,Ausgabe,Café & Snacks
30-01-2025,45.00,Einnahme,Geschenk - Freunde
01-02-2025,3250.00,Einnahme,Gehalt
03-02-2025,1020.00,Ausgabe,Miete
06-02-2025,92.35,Ausgabe,Lebensmittel - Lidl
09-02-2025,35.00,Einnahme,Zinsen - Tagesgeld
12-02-2025,49.00,Ausgabe,ÖPNV Monatskarte
15-02-2025,44.80,Ausgabe,Stromrechnung
18-02-2025,150.00,Einnahme,Steuerrückerstattung
21-02-2025,30.00,Ausgabe,Bücher
24-02-2025,75.00,Einnahme,Nebenjob - Übersetzung
27-02-2025,29.00,Ausgabe,Restaurant - Mittagessen
01-03-2025,3300.00,Einnahme,Gehalt
03-03-2025,1020.00,Ausgabe,Miete
06-03-2025,105.60,Ausgabe,Lebensmittel - Rewe
09-03-2025,40.00,Einnahme,Zinsen - Sparkonto
12-03-2025,49.00,Ausgabe,ÖPNV Monatskarte
15-03-2025,62.00,Ausgabe,Versicherung - Hausrat
18-03-2025,180.00,Einnahme,Verkauf - Möbel
21-03-2025,55.90,Ausgabe,Kleidung - Schuhe
24-03-2025,75.00,Einnahme,Nebenjob - Nachhilfe
27-03-2025,28.50,Ausgabe,Café & Snacks
30-03-2025,50.00,Einnahme,Geschenk - Eltern
01-04-2025,3300.00,Einnahme,Gehalt
03-04-2025,1020.00,Ausgabe,Miete
06-04-2025,88.40,Ausgabe,Lebensmittel - Aldi
09-04-2025,35.00,Einnahme,Zinsen - Tagesgeld
12-04-2025,49.00,Ausgabe,ÖPNV Monatskarte
15-04-2025,135.00,Ausgabe,Zahnarzt
18-04-2025,70.00,Einnahme,Nebenjob - Übersetzung
21-04-2025,27.50,Ausgabe,Café & Snacks
24-04-2025,65.00,Einnahme,Verkauf - Bücher
27-04-2025,40.00,Ausgabe,Bücher - Fachliteratur
30-04-2025,95.00,Einnahme,Geschenk - Freunde
01-05-2025,3300.00,Einnahme,Gehalt
03-05-2025,1030.00,Ausgabe,Miete
06-05-2025,95.25,Ausgabe,Lebensmittel - Lidl
09-05-2025,35.00,Einnahme,Zinsen - Sparkonto
12-05-2025,49.00,Ausgabe,ÖPNV Monatskarte
15-05-2025,295.00,Ausgabe,Reise - Bahn
18-05-2025,65.00,Einnahme,Zinsen - Sparkonto
21-05-2025,310.00,Ausgabe,Hotel - Citytrip
24-05-2025,65.00,Einnahme,Geschenk - Familie
27-05-2025,30.00,Ausgabe,Café & Snacks
30-05-2025,95.00,Einnahme,Verkauf - Kleidung
01-06-2025,3350.00,Einnahme,Gehalt
03-06-2025,1030.00,Ausgabe,Miete
06-06-2025,89.90,Ausgabe,Lebensmittel - Rewe
09-06-2025,35.00,Einnahme,Zinsen - Tagesgeld
12-06-2025,49.00,Ausgabe,ÖPNV Monatskarte
15-06-2025,39.99,Ausgabe,Streaming - Spotify
18-06-2025,100.00,Einnahme,Erstattung - Versicherung
21-06-2025,48.60,Ausgabe,Restaurant - Burger
24-06-2025,45.00,Einnahme,Geschenk - Eltern
27-06-2025,35.00,Ausgabe,Bücher - Roman
30-06-2025,70.00,Einnahme,Verkauf - Möbel
01-07-2025,3350.00,Einnahme,Gehalt
03-07-2025,1030.00,Ausgabe,Miete
06-07-2025,97.15,Ausgabe,Lebensmittel - Aldi
09-07-2025,35.00,Einnahme,Zinsen - Tagesgeld
12-07-2025,49.00,Ausgabe,ÖPNV Monatskarte
15-07-2025,125.00,Einnahme,Nebenjob - Korrektur
18-07-2025,34.00,Ausgabe,Haushalt - DM
21-07-2025,45.00,Einnahme,Geschenk - Familie
24-07-2025,33.00,Ausgabe,Restaurant - Asia
27-07-2025,100.00,Einnahme,Geschenk - Geburtstag
30-07-2025,25.00,Ausgabe,Streaming - Netflix
01-08-2025,3400.00,Einnahme,Gehalt
03-08-2025,1040.00,Ausgabe,Miete
06-08-2025,86.70,Ausgabe,Lebensmittel - Lidl
09-08-2025,35.00,Einnahme,Zinsen - Tagesgeld
12-08-2025,49.00,Ausgabe,ÖPNV Monatskarte
15-08-2025,46.30,Ausgabe,Stromrechnung
18-08-2025,200.00,Einnahme,Erstattung - Krankenversicherung
21-08-2025,29.90,Ausgabe,Cloud-Speicher
24-08-2025,65.00,Einnahme,Verkauf - Bücher
27-08-2025,30.00,Ausgabe,Café & Snacks
30-08-2025,95.00,Einnahme,Nebenjob - Übersetzung
01-09-2025,3400.00,Einnahme,Gehalt
03-09-2025,1040.00,Ausgabe,Miete
06-09-2025,101.40,Ausgabe,Lebensmittel - Rewe
09-09-2025,35.00,Einnahme,Zinsen - Sparkonto
12-09-2025,49.00,Ausgabe,ÖPNV Monatskarte
15-09-2025,58.20,Ausgabe,Kleidung - Jeans
18-09-2025,150.00,Einnahme,Dividende - Aktienfonds
21-09-2025,42.70,Ausgabe,Restaurant - Indisch
24-09-2025,50.00,Einnahme,Geschenk - Freunde
27-09-2025,30.00,Ausgabe,Haushalt - Reinigungsmittel
30-09-2025,70.00,Einnahme,Verkauf - Möbel
01-10-2025,3450.00,Einnahme,Gehalt
03-10-2025,1040.00,Ausgabe,Miete
06-10-2025,93.80,Ausgabe,Lebensmittel - Aldi
09-10-2025,50.00,Einnahme,Zinsen - Sparkonto
12-10-2025,49.00,Ausgabe,ÖPNV Monatskarte
15-10-2025,60.00,Ausgabe,Versicherung - Haftpflicht
17-10-2025,125.00,Einnahme,Nebenjob - Side Gig
20-10-2025,23.60,Ausgabe,Café & Snacks
23-10-2025,65.00,Einnahme,Erstattung - Energie
26-10-2025,35.00,Ausgabe,Bücher - Uni
29-10-2025,80.00,Einnahme,Verkauf - Kleidung
01-11-2025,3450.00,Einnahme,Gehalt
03-11-2025,1040.00,Ausgabe,Miete
06-11-2025,94.60,Ausgabe,Lebensmittel - Lidl
09-11-2025,35.00,Einnahme,Zinsen - Sparkonto
12-11-2025,49.00,Ausgabe,ÖPNV Monatskarte
15-11-2025,55.00,Ausgabe,Heizkosten
18-11-2025,90.00,Einnahme,Nebenjob - Übersetzung
21-11-2025,28.30,Ausgabe,Café & Snacks
24-11-2025,75.00,Einnahme,Geschenk - Freunde
27-11-2025,20.00,Ausgabe,Streaming - Spotify
30-11-2025,350.00,Einnahme,Weihnachtsbonus
01-12-2025,1040.00,Ausgabe,Miete
05-12-2025,118.75,Ausgabe,Lebensmittel - Rewe
08-12-2025,49.00,Ausgabe,ÖPNV Monatskarte
12-12-2025,220.00,Ausgabe,Weihnachtsgeschenke
18-12-2025,60.00,Ausgabe,Restaurant - Abendessen
21-12-2025,350.00,Einnahme,Weihnachtsbonus - Nebenjob
25-12-2025,75.00,Einnahme,Geschenk - Familie
28-12-2025,38.00,Ausgabe,Weihnachtsmarkt
31-12-2025,80.00,Ausgabe,Silvester - Party
